,Donor_country,country,year,broad_sector,donor_lat,donor_lon,recipient_lat,recipient_lon,usd_disbursements_defl
0,Belgium,Afghanistan,2020,governance_and_social,50.503887,4.469936,33.93911,67.709953,0.037619076564
1,Belgium,Afghanistan,2021,health,50.503887,4.469936,33.93911,67.709953,0.010709405651
2,Belgium,Afghanistan,2021,other,50.503887,4.469936,33.93911,67.709953,0.003980665874
3,Belgium,Afghanistan,2022,governance_and_social,50.503887,4.469936,33.93911,67.709953,0.1541924891
4,Belgium,Afghanistan,2022,health,50.503887,4.469936,33.93911,67.709953,0.058094039723
5,Belgium,Afghanistan,2023,governance_and_social,50.503887,4.469936,33.93911,67.709953,0.05525002293
6,Belgium,Afghanistan,2023,health,50.503887,4.469936,33.93911,67.709953,0.08587788419100001
7,Belgium,Angola,2020,education,50.503887,4.469936,-11.202692,17.873887,0.04267192126
8,Belgium,Angola,2021,governance_and_social,50.503887,4.469936,-11.202692,17.873887,0.02247207124
9,Belgium,Angola,2021,other,50.503887,4.469936,-11.202692,17.873887,0.01491739381
10,Belgium,Angola,2022,governance_and_social,50.503887,4.469936,-11.202692,17.873887,0.005676876344
11,Belgium,Angola,2023,other,50.503887,4.469936,-11.202692,17.873887,0.00522775717
12,Belgium,Argentina,2020,health,50.503887,4.469936,-38.416097,-63.616672,0.01295601204
13,Belgium,Argentina,2021,education,50.503887,4.469936,-38.416097,-63.616672,0.020259467624
14,Belgium,Argentina,2021,environment_and_agriculture,50.503887,4.469936,-38.416097,-63.616672,0.1489516675
15,Belgium,Argentina,2022,education,50.503887,4.469936,-38.416097,-63.616672,0.01747448085
16,Belgium,Argentina,2023,other,50.503887,4.469936,-38.416097,-63.616672,0.01547000642
17,Belgium,Armenia,2020,humanitarian_and_disaster,50.503887,4.469936,40.069099,45.038189,0.02461642288
18,Belgium,Armenia,2022,education,50.503887,4.469936,40.069099,45.038189,0.08334628384
19,Belgium,Azerbaijan,2020,humanitarian_and_disaster,50.503887,4.469936,40.143105,47.576927,0.01870848139
20,Belgium,Bangladesh,2020,governance_and_social,50.503887,4.469936,23.684994,90.356331,0.01554721445
21,Belgium,Bangladesh,2020,health,50.503887,4.469936,23.684994,90.356331,0.04405044094
22,Belgium,Bangladesh,2021,health,50.503887,4.469936,23.684994,90.356331,0.03157254024
23,Belgium,Bangladesh,2022,education,50.503887,4.469936,23.684994,90.356331,0.06290813105
24,Belgium,Bangladesh,2022,environment_and_agriculture,50.503887,4.469936,23.684994,90.356331,0.05915461256
25,Belgium,Bangladesh,2022,other,50.503887,4.469936,23.684994,90.356331,0.04077378864
26,Belgium,Bangladesh,2023,education,50.503887,4.469936,23.684994,90.356331,0.20774008622
27,Belgium,Bangladesh,2023,health,50.503887,4.469936,23.684994,90.356331,0.04737910466
28,Belgium,Belize,2022,environment_and_agriculture,50.503887,4.469936,17.189877,-88.49765,0.04776358098
29,Belgium,Benin,2020,aid_and_debt,50.503887,4.469936,9.30769,2.315834,0.051181429958
30,Belgium,Benin,2020,economic_development,50.503887,4.469936,9.30769,2.315834,0.2591202408
31,Belgium,Benin,2020,education,50.503887,4.469936,9.30769,2.315834,0.0164593177
32,Belgium,Benin,2020,environment_and_agriculture,50.503887,4.469936,9.30769,2.315834,0.18786217457999999
33,Belgium,Benin,2020,governance_and_social,50.503887,4.469936,9.30769,2.315834,0.03265821955
34,Belgium,Benin,2020,health,50.503887,4.469936,9.30769,2.315834,0.057550605482
35,Belgium,Benin,2020,water_and_sanitation,50.503887,4.469936,9.30769,2.315834,0.01295601204
36,Belgium,Benin,2021,education,50.503887,4.469936,9.30769,2.315834,0.060481620988
37,Belgium,Benin,2021,environment_and_agriculture,50.503887,4.469936,9.30769,2.315834,0.154618306978
38,Belgium,Benin,2021,governance_and_social,50.503887,4.469936,9.30769,2.315834,0.085963818218
39,Belgium,Benin,2021,health,50.503887,4.469936,9.30769,2.315834,0.103689905218
40,Belgium,Benin,2021,other,50.503887,4.469936,9.30769,2.315834,0.078099098455
41,Belgium,Benin,2021,water_and_sanitation,50.503887,4.469936,9.30769,2.315834,0.005556767083
42,Belgium,Benin,2022,education,50.503887,4.469936,9.30769,2.315834,0.13667373952
43,Belgium,Benin,2022,environment_and_agriculture,50.503887,4.469936,9.30769,2.315834,0.241773422143
44,Belgium,Benin,2022,governance_and_social,50.503887,4.469936,9.30769,2.315834,0.078459254032
45,Belgium,Benin,2022,health,50.503887,4.469936,9.30769,2.315834,0.05856397511
46,Belgium,Benin,2022,humanitarian_and_disaster,50.503887,4.469936,9.30769,2.315834,0.055646901777000005
47,Belgium,Benin,2022,other,50.503887,4.469936,9.30769,2.315834,0.01186633746
48,Belgium,Benin,2022,water_and_sanitation,50.503887,4.469936,9.30769,2.315834,0.010598855117
49,Belgium,Benin,2023,education,50.503887,4.469936,9.30769,2.315834,0.044472400954
50,Belgium,Benin,2023,environment_and_agriculture,50.503887,4.469936,9.30769,2.315834,0.053964907396
51,Belgium,Benin,2023,governance_and_social,50.503887,4.469936,9.30769,2.315834,0.096723452634
52,Belgium,Benin,2023,health,50.503887,4.469936,9.30769,2.315834,0.14980049217
53,Belgium,Benin,2023,humanitarian_and_disaster,50.503887,4.469936,9.30769,2.315834,0.046509469316
54,Belgium,Benin,2023,other,50.503887,4.469936,9.30769,2.315834,0.01723800715
55,Belgium,Bolivia,2020,environment_and_agriculture,50.503887,4.469936,-16.290154,-63.588653,0.04824041523
56,Belgium,Bolivia,2020,health,50.503887,4.469936,-16.290154,-63.588653,0.02396862227
57,Belgium,Bolivia,2020,water_and_sanitation,50.503887,4.469936,-16.290154,-63.588653,0.06485390947
58,Belgium,Bolivia,2021,energy,50.503887,4.469936,-16.290154,-63.588653,0.009724342395
59,Belgium,Bolivia,2021,health,50.503887,4.469936,-16.290154,-63.588653,0.03517812434
60,Belgium,Bolivia,2021,other,50.503887,4.469936,-16.290154,-63.588653,0.01010321288
61,Belgium,Bolivia,2022,education,50.503887,4.469936,-16.290154,-63.588653,0.039308646623
62,Belgium,Bolivia,2022,water_and_sanitation,50.503887,4.469936,-16.290154,-63.588653,0.0110671712
63,Belgium,Botswana,2020,governance_and_social,50.503887,4.469936,-22.328474,24.684866,0.01106443428
64,Belgium,Brazil,2020,education,50.503887,4.469936,-14.235004,-51.92528,0.07644047104
65,Belgium,Brazil,2020,environment_and_agriculture,50.503887,4.469936,-14.235004,-51.92528,0.15223314147
66,Belgium,Brazil,2020,governance_and_social,50.503887,4.469936,-14.235004,-51.92528,0.14733058652
67,Belgium,Brazil,2020,health,50.503887,4.469936,-14.235004,-51.92528,0.01295601204
68,Belgium,Brazil,2020,other,50.503887,4.469936,-14.235004,-51.92528,0.04709250956
69,Belgium,Brazil,2021,economic_development,50.503887,4.469936,-14.235004,-51.92528,0.022854730431
70,Belgium,Brazil,2021,education,50.503887,4.469936,-14.235004,-51.92528,0.10931676334000001
71,Belgium,Brazil,2021,environment_and_agriculture,50.503887,4.469936,-14.235004,-51.92528,0.33681585932900004
72,Belgium,Brazil,2021,governance_and_social,50.503887,4.469936,-14.235004,-51.92528,0.1171315985031
73,Belgium,Brazil,2021,health,50.503887,4.469936,-14.235004,-51.92528,0.12274014456200001
74,Belgium,Brazil,2021,humanitarian_and_disaster,50.503887,4.469936,-14.235004,-51.92528,0.00607203094
75,Belgium,Brazil,2021,infrastructure,50.503887,4.469936,-14.235004,-51.92528,0.011881378344999999
76,Belgium,Brazil,2021,other,50.503887,4.469936,-14.235004,-51.92528,0.4232160100488
77,Belgium,Brazil,2021,water_and_sanitation,50.503887,4.469936,-14.235004,-51.92528,0.004293865473
78,Belgium,Brazil,2022,education,50.503887,4.469936,-14.235004,-51.92528,0.00116496539
79,Belgium,Brazil,2022,environment_and_agriculture,50.503887,4.469936,-14.235004,-51.92528,0.2273022220625
80,Belgium,Brazil,2022,governance_and_social,50.503887,4.469936,-14.235004,-51.92528,0.007108618808
81,Belgium,Brazil,2022,health,50.503887,4.469936,-14.235004,-51.92528,0.02059333784
82,Belgium,Brazil,2022,infrastructure,50.503887,4.469936,-14.235004,-51.92528,0.010922715494
83,Belgium,Brazil,2022,other,50.503887,4.469936,-14.235004,-51.92528,0.09413283818040001
84,Belgium,Brazil,2023,education,50.503887,4.469936,-14.235004,-51.92528,0.001105000459
